samples,sigma_eff,delta_p,radius_measured,radius,size,delta_p_theory,relative_error
51.0,0.030505105529411762,0.003809886419607842,16.013656098039217,16.0,64.0,0.00375,0.01596971189542451
51.0,0.03021790186274509,0.0025171924,24.00921119607843,24.0,96.0,0.0025,0.006876959999999821
51.0,0.030120799470588232,0.001882137790196078,32.00700782352941,32.0,128.0,0.001875,0.0038068214379083365
